,timestamp,asset,volumeUSD,datetime
196,1671062400000,ada,81281553.90884435,2022-12-15 08:00:00
207,1671062400000,trx,57432392.88579452,2022-12-15 08:00:00
201,1671062400000,dot,54738879.06380829,2022-12-15 08:00:00
205,1671062400000,shib,45303120.95606784,2022-12-15 08:00:00
197,1671062400000,avax,39493296.94849608,2022-12-15 08:00:00
208,1671062400000,uni,30468631.039791103,2022-12-15 08:00:00
185,1670976000000,btc,10016587542.90255,2022-12-14 08:00:00
188,1670976000000,eth,2809823555.830834,2022-12-14 08:00:00
195,1670976000000,xrp,347841592.24133104,2022-12-14 08:00:00
184,1670976000000,bnb,328279702.4464672,2022-12-14 08:00:00
186,1670976000000,doge,272066711.6815098,2022-12-14 08:00:00
192,1670976000000,sol,228423949.40558404,2022-12-14 08:00:00
189,1670976000000,ltc,169605467.9964073,2022-12-14 08:00:00
190,1670976000000,matic,154892120.75053734,2022-12-14 08:00:00
182,1670976000000,ada,101070153.02719273,2022-12-14 08:00:00
193,1670976000000,trx,84130516.87685606,2022-12-14 08:00:00
187,1670976000000,dot,75076565.0390456,2022-12-14 08:00:00
183,1670976000000,avax,58391102.87053749,2022-12-14 08:00:00
191,1670976000000,shib,49394646.4363596,2022-12-14 08:00:00
194,1670976000000,uni,28474031.971860465,2022-12-14 08:00:00
171,1670889600000,btc,10778800615.001583,2022-12-13 08:00:00
174,1670889600000,eth,3299149046.3891287,2022-12-13 08:00:00
170,1670889600000,bnb,838277790.868173,2022-12-13 08:00:00
181,1670889600000,xrp,445317553.34724504,2022-12-13 08:00:00
172,1670889600000,doge,355828509.0897604,2022-12-13 08:00:00
176,1670889600000,matic,217297429.4367291,2022-12-13 08:00:00
175,1670889600000,ltc,210413764.38354346,2022-12-13 08:00:00
178,1670889600000,sol,159643957.3941511,2022-12-13 08:00:00
168,1670889600000,ada,115219965.32682088,2022-12-13 08:00:00
173,1670889600000,dot,99002801.82121481,2022-12-13 08:00:00
169,1670889600000,avax,93768815.6113156,2022-12-13 08:00:00
177,1670889600000,shib,87073881.22094706,2022-12-13 08:00:00
179,1670889600000,trx,74413390.36924909,2022-12-13 08:00:00
180,1670889600000,uni,34002435.2250842,2022-12-13 08:00:00
157,1670803200000,btc,7556371760.225512,2022-12-12 08:00:00
160,1670803200000,eth,1747945899.599433,2022-12-12 08:00:00
158,1670803200000,doge,389028471.724445,2022-12-12 08:00:00
167,1670803200000,xrp,361533425.81604385,2022-12-12 08:00:00
156,1670803200000,bnb,347700067.6631322,2022-12-12 08:00:00
161,1670803200000,ltc,132792405.92898585,2022-12-12 08:00:00
162,1670803200000,matic,118231948.86030646,2022-12-12 08:00:00
164,1670803200000,sol,102949974.29433513,2022-12-12 08:00:00
165,1670803200000,trx,76876356.57989356,2022-12-12 08:00:00
163,1670803200000,shib,73428604.59431498,2022-12-12 08:00:00
159,1670803200000,dot,71847625.43626341,2022-12-12 08:00:00
154,1670803200000,ada,65484379.27321447,2022-12-12 08:00:00
155,1670803200000,avax,32574044.431983933,2022-12-12 08:00:00
166,1670803200000,uni,23365132.35085218,2022-12-12 08:00:00
143,1670716800000,btc,4996505505.299866,2022-12-11 08:00:00
146,1670716800000,eth,957516153.143256,2022-12-11 08:00:00
142,1670716800000,bnb,126539033.36684549,2022-12-11 08:00:00
144,1670716800000,doge,124878530.99990818,2022-12-11 08:00:00
153,1670716800000,xrp,114868981.62194967,2022-12-11 08:00:00
147,1670716800000,ltc,69109036.0922598,2022-12-11 08:00:00
148,1670716800000,matic,60246303.5854843,2022-12-11 08:00:00
150,1670716800000,sol,47119812.1037687,2022-12-11 08:00:00
140,1670716800000,ada,45205294.24118057,2022-12-11 08:00:00
145,1670716800000,dot,36901842.97671033,2022-12-11 08:00:00
149,1670716800000,shib,27886971.96316119,2022-12-11 08:00:00
151,1670716800000,trx,25865626.37882886,2022-12-11 08:00:00
141,1670716800000,avax,18637731.666542966,2022-12-11 08:00:00
152,1670716800000,uni,15597707.390322149,2022-12-11 08:00:00
129,1670630400000,btc,4469687715.605414,2022-12-10 08:00:00
132,1670630400000,eth,903202947.8026698,2022-12-10 08:00:00
