,exchange,timestamp,originalQuantity,price,side,status,type,timeInForce,action,orderId,unit,positionType,datetime,pair
108,binance,1669835471339,0.011000000000000001,17077.93,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:11.339,BTCUSDT
109,binance,1669835472412,0.035,17082.91,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:12.412,BTCUSDT
110,binance,1669835478423,0.001,17062.06,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:18.423,BTCUSDT
111,binance,1669835479755,0.03,17079.64,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:19.755,BTCUSDT
112,binance,1669835481746,0.29,17002.51,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:21.746,BTCUSDT
113,binance,1669835482759,0.004,17085.98,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:22.759,BTCUSDT
114,binance,1669835483781,0.034,17088.89,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:23.781,BTCUSDT
115,binance,1669835484831,0.066,17098.01,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:24.831,BTCUSDT
116,binance,1669835485876,0.027999999999999997,17095.44,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:25.876,BTCUSDT
117,binance,1669835486915,0.017,17099.52,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:26.915,BTCUSDT
118,binance,1669835501935,0.055,17089.62,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:41.935,BTCUSDT
119,binance,1669835503238,0.017,17099.07,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:11:43.238,BTCUSDT
120,binance,1669835528065,0.01,17102.09,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:12:08.065,BTCUSDT
121,binance,1669835538303,1.0,17102.45,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:12:18.303,BTCUSDT
122,binance,1669835539350,1.011,17103.88,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:12:19.350,BTCUSDT
123,binance,1669835540366,0.002,17105.99,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:12:20.366,BTCUSDT
124,binance,1669835541369,0.001,17108.27,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:12:21.369,BTCUSDT
125,binance,1669835542418,0.3,17111.77,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:12:22.418,BTCUSDT
126,binance,1669835577289,0.01,17111.96,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:12:57.289,BTCUSDT
127,binance,1669835578382,0.8759999999999999,17112.44,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:12:58.382,BTCUSDT
128,binance,1669835579440,0.006,17113.16,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:12:59.440,BTCUSDT
129,binance,1669835580497,0.026000000000000002,17114.22,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:13:00.497,BTCUSDT
130,binance,1669835582181,0.077,17115.68,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:13:02.181,BTCUSDT
131,binance,1669835583184,0.004,17121.91,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:13:03.184,BTCUSDT
132,binance,1669835584222,0.212,17125.83,BUY,FILLED,LIMIT,IOC,,,base_asset,SHORT,2022-12-01 03:13:04.222,BTCUSDT
133,binance,1669835704494,0.37,16971.85,SELL,FILLED,LIMIT,IOC,,,base_asset,LONG,2022-12-01 03:15:04.494,BTCUSDT
